instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,cluster,PCA1,PCA2,KMeans,Isol,Grubbs
85,26/03/2011,2,0,3,FALSE,6,FALSE,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,2,1.428296168,-0.76562743,0,0,0
86,27/03/2011,2,0,3,FALSE,0,FALSE,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,2,1.586653188,0.434251465,0,0,0
87,28/03/2011,2,0,3,FALSE,1,TRUE,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,2,1.497910714,-0.886428569,0,0,0
88,29/03/2011,2,0,3,FALSE,2,TRUE,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,2,1.347500404,-0.958765829,0,0,0
89,30/03/2011,2,0,3,FALSE,3,TRUE,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,2,1.325173506,0.882603495,0,0,0
90,31/03/2011,2,0,3,FALSE,4,TRUE,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,0,1.455515694,2.312368496,0,1,0
91,1/4/2011,2,0,4,FALSE,5,TRUE,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,2,1.311558858,0.841120772,0,0,0
92,2/4/2011,2,0,4,FALSE,6,FALSE,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,2,1.200336381,0.76491521,0,0,0
93,3/4/2011,2,0,4,FALSE,0,FALSE,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,2,0.854757632,-0.512251831,0,0,0
94,4/4/2011,2,0,4,FALSE,1,TRUE,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,2,0.601075983,-1.07965739,0,0,0
95,5/4/2011,2,0,4,FALSE,2,TRUE,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,2,1.238960042,0.505435649,0,0,0
96,6/4/2011,2,0,4,FALSE,3,TRUE,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,2,0.948961351,-0.616842599,0,0,0
97,7/4/2011,2,0,4,FALSE,4,TRUE,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,2,0.552601504,-0.163466703,0,0,0
98,8/4/2011,2,0,4,FALSE,5,TRUE,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,0,1.183302072,1.379007269,0,0,0
99,9/4/2011,2,0,4,FALSE,6,FALSE,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,0,0.903285827,1.472281732,0,0,0
100,10/4/2011,2,0,4,FALSE,0,FALSE,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,0,0.630265086,1.347525562,0,0,0
101,11/4/2011,2,0,4,FALSE,1,TRUE,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,0,0.3749314,0.522358726,0,0,0
102,12/4/2011,2,0,4,FALSE,2,TRUE,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,0,0.713415884,0.861007095,0,0,0
103,13/04/2011,2,0,4,FALSE,3,TRUE,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,0,0.878215791,1.172765117,0,0,0
104,14/04/2011,2,0,4,FALSE,4,TRUE,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,2,0.391994187,-0.305227582,0,0,0
105,15/04/2011,2,0,4,TRUE,5,FALSE,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,2,0.749595915,-0.144023386,0,0,0
106,16/04/2011,2,0,4,FALSE,6,FALSE,3,0.430833,0.425492,0.888333,0.340808,121,674,795,0,1.253080921,2.002959107,0,1,0
107,17/04/2011,2,0,4,FALSE,0,FALSE,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,2,0.751614734,-0.810592953,0,0,0
108,18/04/2011,2,0,4,FALSE,1,TRUE,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,2,0.327644257,-0.396205361,0,0,0
109,19/04/2011,2,0,4,FALSE,2,TRUE,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,0,0.412424792,0.696993446,0,0,0
110,20/04/2011,2,0,4,FALSE,3,TRUE,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,1,0.124951518,-0.443864612,0,0,0
111,21/04/2011,2,0,4,FALSE,4,TRUE,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,2,0.677446051,-1.114707524,0,0,0
112,22/04/2011,2,0,4,FALSE,5,TRUE,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,0,1.190178555,1.056285372,0,0,0
113,23/04/2011,2,0,4,FALSE,6,FALSE,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,0,0.491886428,1.09026023,0,0,0
114,24/04/2011,2,0,4,FALSE,0,FALSE,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,0,0.119122172,0.887582269,0,0,0
115,25/04/2011,2,0,4,FALSE,1,TRUE,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,1,-0.071800157,0.117737189,0,0,0
116,26/04/2011,2,0,4,FALSE,2,TRUE,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,1,0.048175316,-0.301209288,0,0,0
117,27/04/2011,2,0,4,FALSE,3,TRUE,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,0,0.182080153,0.792461264,0,0,0
118,28/04/2011,2,0,4,FALSE,4,TRUE,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,0,0.219981351,0.35331171,0,0,0
119,29/04/2011,2,0,4,FALSE,5,TRUE,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,1,0.326530992,-0.933395417,0,0,0
120,30/04/2011,2,0,4,FALSE,6,FALSE,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,1,0.361338422,-0.893233482,0,0,0
121,1/5/2011,2,0,5,FALSE,0,FALSE,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,0,0.422055221,1.12840559,0,0,0
122,2/5/2011,2,0,5,FALSE,1,TRUE,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,0,0.082220754,0.758482066,0,0,0
123,3/5/2011,2,0,5,FALSE,2,TRUE,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,0,0.150389259,0.355843592,0,0,0
124,4/5/2011,2,0,5,FALSE,3,TRUE,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,0,0.932822592,0.833645748,0,0,0
125,5/5/2011,2,0,5,FALSE,4,TRUE,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,2,0.550288222,-0.915909116,0,0,0
126,6/5/2011,2,0,5,FALSE,5,TRUE,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,1,0.281521553,-0.439886639,0,0,0
127,7/5/2011,2,0,5,FALSE,6,FALSE,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,1,0.109101646,-0.57581316,0,0,0
128,8/5/2011,2,0,5,FALSE,0,FALSE,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,1,-0.013291267,-0.074460257,0,0,0
129,9/5/2011,2,0,5,FALSE,1,TRUE,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,1,0.085652263,-0.332125771,0,0,0
130,10/5/2011,2,0,5,FALSE,2,TRUE,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,1,-0.022581965,-0.590293719,0,0,0
131,11/5/2011,2,0,5,FALSE,3,TRUE,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,1,-0.017996637,-0.128220062,0,0,0
132,12/5/2011,2,0,5,FALSE,4,TRUE,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,1,-0.033148703,0.02035578,0,0,0
133,13/05/2011,2,0,5,FALSE,5,TRUE,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,0,0.166154783,1.169089571,0,0,0
134,14/05/2011,2,0,5,FALSE,6,FALSE,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,0,0.190284342,1.427172084,0,0,0
135,15/05/2011,2,0,5,FALSE,0,FALSE,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,0,-0.011705046,1.152863861,0,0,0
136,16/05/2011,2,0,5,FALSE,1,TRUE,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,0,-0.122898412,0.340277249,0,0,0
137,17/05/2011,2,0,5,FALSE,2,TRUE,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,0,0.187776426,0.942205331,0,0,0
138,18/05/2011,2,0,5,FALSE,3,TRUE,2,0.55,0.527158,0.87,0.201492,536,3319,3855,0,0.127300019,1.178019038,0,0,0
139,19/05/2011,2,0,5,FALSE,4,TRUE,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,0,-0.041462907,1.125683979,0,0,0
140,20/05/2011,2,0,5,FALSE,5,TRUE,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,1,-0.141702873,0.016472125,0,0,0
141,21/05/2011,2,0,5,FALSE,6,FALSE,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,1,-0.346138425,-0.442084841,0,0,0
142,22/05/2011,2,0,5,FALSE,0,FALSE,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,1,-0.19297844,0.069774837,0,0,0
143,23/05/2011,2,0,5,FALSE,1,TRUE,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,0,-0.069910758,0.873019951,0,0,0
144,24/05/2011,2,0,5,FALSE,2,TRUE,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,0,-0.178765796,0.658729937,0,0,0
145,25/05/2011,2,0,5,FALSE,3,TRUE,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,1,-0.410904096,-0.164068772,0,0,0
146,26/05/2011,2,0,5,FALSE,4,TRUE,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,1,-0.429953552,-0.301854599,0,0,0
147,27/05/2011,2,0,5,FALSE,5,TRUE,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,1,-0.293562026,-0.427815228,0,0,0
148,28/05/2011,2,0,5,FALSE,6,FALSE,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,1,-0.226404126,-0.231317262,0,0,0
149,29/05/2011,2,0,5,FALSE,0,FALSE,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,1,-0.296176082,0.11556393,0,0,0
150,30/05/2011,2,0,5,TRUE,1,FALSE,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,1,-0.360412941,-0.159451252,0,0,0
151,31/05/2011,2,0,5,FALSE,2,TRUE,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,1,-0.66234588,-0.242904193,0,0,0
152,1/6/2011,2,0,6,FALSE,3,TRUE,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,0,-0.48191891,0.494773897,0,0,0
153,2/6/2011,2,0,6,FALSE,4,TRUE,1,0.715,0.643942,0.305,0.292287,736,4232,4968,1,-0.222405521,-1.494261257,0,0,0
154,3/6/2011,2,0,6,FALSE,5,TRUE,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,1,-0.120066659,-1.279308862,0,0,0
155,4/6/2011,2,0,6,FALSE,6,FALSE,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,1,-0.350346361,-0.848722716,0,0,0
156,5/6/2011,2,0,6,FALSE,0,FALSE,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,0,-0.303130539,0.50851721,0,0,0
157,6/6/2011,2,0,6,FALSE,1,TRUE,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,1,-0.448395081,-0.268280022,0,0,0
158,7/6/2011,2,0,6,FALSE,2,TRUE,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,1,-0.485553565,-0.443150771,0,0,0
159,8/6/2011,2,0,6,FALSE,3,TRUE,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,1,-0.734128998,-0.316196671,0,0,0
160,9/6/2011,2,0,6,FALSE,4,TRUE,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,1,-0.643536877,0.22601098,0,0,0
161,10/6/2011,2,0,6,FALSE,5,TRUE,1,0.755,0.703292,0.605,0.140554,815,3771,4586,1,-0.682244753,-0.39751631,0,0,0
162,11/6/2011,2,0,6,FALSE,6,FALSE,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,1,-0.599235772,-0.346491732,0,0,0
163,12/6/2011,2,0,6,FALSE,0,FALSE,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,1,-0.436453394,0.066415325,0,0,0
164,13/06/2011,2,0,6,FALSE,1,TRUE,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,1,-0.093164431,-0.881178911,0,0,0
165,14/06/2011,2,0,6,FALSE,2,TRUE,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,1,-0.077887751,-0.77115061,0,0,0
166,15/06/2011,2,0,6,FALSE,3,TRUE,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,1,-0.284948314,-0.771285878,0,0,0
167,16/06/2011,2,0,6,FALSE,4,TRUE,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,0,-0.061375469,0.64502694,0,0,0
168,17/06/2011,2,0,6,FALSE,5,TRUE,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,1,-0.444446955,0.037201798,0,0,0
169,18/06/2011,2,0,6,FALSE,6,FALSE,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,1,-0.58309455,-0.237767791,0,0,0
170,19/06/2011,2,0,6,FALSE,0,FALSE,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,0,-0.464222872,0.591216511,0,0,0
171,20/06/2011,2,0,6,FALSE,1,TRUE,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,0,-0.195639989,0.898104058,0,0,0
172,21/06/2011,3,0,6,FALSE,2,TRUE,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,0,-0.625774504,0.986094769,0,0,0
173,22/06/2011,3,0,6,FALSE,3,TRUE,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,1,-0.809780389,0.077115687,0,0,0
174,23/06/2011,3,0,6,FALSE,4,TRUE,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,0,-0.655649494,0.626293585,0,0,0
175,24/06/2011,3,0,6,FALSE,5,TRUE,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,1,-0.674944246,-0.448098363,0,0,0
176,25/06/2011,3,0,6,FALSE,6,FALSE,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,1,-0.574539535,-0.751014431,0,0,0
177,26/06/2011,3,0,6,FALSE,0,FALSE,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,1,-0.727405528,-0.420370012,0,0,0
178,27/06/2011,3,0,6,FALSE,1,TRUE,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,0,-0.658605385,0.780383588,0,0,0
